date,nav_hold,nav_switch_A,nav_switch_B
20241121,12430005.578784235,9345647.249571232,5966610.9411570635
20241122,12129860.278295318,9345647.249571232,5822536.168021747
20241125,12055447.412320444,9345647.249571232,5786816.745574637
20241126,12139352.946603462,9345647.249571232,5827092.807858244
20241127,12220201.519905891,9345647.249571232,5865901.477652131
20241128,12211754.654038474,9345647.249571232,5861846.840509485
20241129,12274020.122432582,9345647.249571232,5891735.308589553
20241202,12268067.093154594,9345647.249571232,5888877.7547937855
20241203,12282064.756592028,9345647.249571232,5895596.867773025
20241204,12227843.922357365,9345647.249571232,5869569.958876428
20241205,12155442.214922354,9345647.249571232,5834815.926225186
20241206,12235969.002858404,9345647.249571232,5873470.133651734
20241209,12218190.36136603,9345647.249571232,5864936.087856263
20241210,12441750.744657023,9345647.249571232,5972248.81756493
20241211,12353340.215244716,9345647.249571232,5929810.28213858
20241212,12596288.166859975,9345647.249571232,6046429.369479415
20241213,12219799.28819792,9345647.249571232,5865708.399692957
20241216,12285765.288305374,9345647.249571232,5897373.184997423
20241217,12533540.020416299,9345647.249571232,6016309.207848339
20241218,12642142.581568815,9345647.249571232,6068440.256825201
20241219,12477308.027641773,9345647.249571232,5989316.9091558745
20241220,12435378.2308397,9345647.249571232,5969189.904161865
20241223,12471736.596889133,9345647.249571232,5986642.529045912
20241224,12572804.684087217,9345647.249571232,6035156.904285388
20241225,12500741.58553531,9345647.249571232,6000565.409571389
20241226,12482684.958800647,9345647.249571232,5991897.926202008
20241227,12492326.053618249,9345647.249571232,5996525.813249912
20241230,12459889.488850553,9345647.249571232,5980955.718690436
20241231,12451719.069513602,9345647.249571232,5977033.780514246
20250102,12157583.973383358,9345647.249571232,5835844.0061713895
20250103,12051368.522002993,9345647.249571232,5784858.809880914
20250106,11765403.845209701,9345647.249571232,5647590.973714248
20250107,11767037.929077093,9345647.249571232,5648375.361349487
20250108,11785829.893552082,9345647.249571232,5657395.8191547245
20250109,11798085.522557506,9345647.249571232,5663278.726419009
20250110,11732722.167861897,9345647.249571232,5631903.221009486
20250113,11797922.11417077,9345647.249571232,5663200.287655487
20250114,12030942.473660616,9345647.249571232,5775053.964440438
20250115,12020892.857876167,9345647.249571232,5770229.980483724
20250116,11817531.120579451,9345647.249571232,5672612.939278344
20250117,11885917.530429732,9345647.249571232,5705439.561813057
20250120,12049734.438135602,9345647.249571232,5784074.422245676
20250121,11995401.14954488,9345647.249571232,5757993.53337401
20250122,11773574.264546655,9345647.249571232,5651512.911890439
